mapping_id,user_topic_label,developer_topic_label,max_lag_searched,best_lag_months,best_lag_spearman_rho,observed_max_abs_rho,pair_level_exact_p,null_nonidentity_shifts,null_extreme_count,null_max_mean,null_max_median,null_max_95pct,lag_interpretation,pair_level_fdr_bh
M030,Performance Issues,Technical Challenges,12,8,-0.3440228313290782,0.3440228313290782,0.045871559633027525,108,4,0.25771588306635135,0.2482478101552582,0.34198351259261045,developer_lags_user,0.6269113149847095
M008,UI Design,Layout Challenges,12,-6,-0.29619338400035145,0.29619338400035145,0.06422018348623854,108,6,0.21311605258171054,0.20267206215228134,0.29641329390220333,developer_leads_user,0.6269113149847095
M009,UI Design,Environment & Interface.,12,-4,0.27501555048724863,0.27501555048724863,0.06422018348623854,108,6,0.2160378193377752,0.22040487420527954,0.27561655552837466,developer_leads_user,0.6269113149847095
M034,Troubleshooting,Troubleshooting,12,-5,-0.3651445641736904,0.3651445641736904,0.06422018348623854,108,6,0.2693605346762688,0.276508071251163,0.3660953723321196,developer_leads_user,0.6269113149847095
M019,Hardware Support,Compatibility Issues,12,-10,0.29291280148423005,0.29291280148423005,0.11009174311926606,108,11,0.2417143417766981,0.2503533565027855,0.29751675057996474,developer_leads_user,0.6269113149847095
M005,Sound Design,Audio and Visual,12,4,-0.31504250466514616,0.31504250466514616,0.11926605504587157,108,12,0.2612633263222316,0.2577721124227169,0.3570392634547213,developer_lags_user,0.6269113149847095
M012,Interaction Methods,Interaction Mechanics,12,-1,0.32224490136253564,0.32224490136253564,0.12844036697247707,108,13,0.24643734907004514,0.2549464442548581,0.3536812724674345,developer_leads_user,0.6269113149847095
M023,Physical Reactions,Cybersickness,12,0,-0.2679414974094333,0.2679414974094333,0.13761467889908258,108,14,0.23095015734633254,0.22909413157333663,0.29911932584833784,synchronous,0.6269113149847095
M028,Installation,Installation and Setup,12,4,-0.3192017827832013,0.3192017827832013,0.13761467889908258,108,14,0.26085078948514784,0.25943039364543785,0.3318892766332624,developer_lags_user,0.6269113149847095
M013,Interaction Methods,Player Interaction,12,1,0.2617418973881714,0.2617418973881714,0.1559633027522936,108,16,0.23456596672035362,0.23737418988641973,0.27753428516904277,developer_lags_user,0.6394495412844037
