month,App Development ,Audio and Visual,Beta Testing,Bug Reporting ,Compatibility Issues,Control Issues,Controller,Cross-platform,Customization,Cybersickness,Educational Use,Environment & Interface.,Game Elements,Graphics Optimization,Hardware Optimization,Horror Game ,IOS Development,Implementation Challenges,Input Methods,Installation and Setup,Interaction Mechanics,Layout Challenges,Multiplayer,Object Tracking,Parallel Rendering ,Physics & Hardware,Player Interaction,Rendering Issues,Safety ,Server Management,Streaming and Mapping,Support Challenges,Technical Challenges,Testing Requirements,Tools Limitation,Troubleshooting,UE Issues
2015-06,103,66,90,193,107,72,83,260,243,118,155,120,115,134,116,114,93,313,153,108,89,171,64,102,96,121,49,118,124,103,178,106,102,153,161,160,127
2015-07,77,68,34,104,44,58,50,101,142,62,79,47,53,54,49,70,57,81,74,54,55,77,30,46,63,47,45,58,62,77,79,54,25,56,85,88,69
2015-08,104,44,58,111,55,45,51,135,148,43,112,72,62,86,38,52,40,156,74,61,51,80,43,40,39,56,35,71,86,63,94,47,38,57,111,102,78
2015-09,87,58,41,98,66,59,61,111,175,71,91,55,59,67,66,72,58,119,86,67,50,88,40,43,50,49,40,54,89,81,89,55,53,63,92,83,82
2015-10,66,49,41,92,63,53,61,102,138,79,81,54,76,86,49,71,50,114,81,53,52,70,41,37,47,52,32,52,75,77,78,52,38,55,95,91,63
2015-11,63,42,37,74,35,37,43,73,102,45,58,43,49,45,42,43,40,65,75,61,31,58,17,38,46,53,35,54,60,57,60,47,33,42,70,69,47
2015-12,65,48,35,110,38,33,37,90,120,33,88,34,44,58,26,33,39,95,62,41,36,68,21,37,30,40,30,52,55,61,54,39,49,36,69,52,54
2016-01,257,77,183,402,193,190,138,366,467,246,351,226,156,175,146,255,280,762,282,233,189,430,90,311,163,259,96,293,309,231,336,148,245,249,248,265,256
2016-02,111,34,61,180,64,69,63,144,190,83,137,58,77,88,57,76,69,222,101,85,85,114,28,78,78,109,44,98,112,75,116,83,97,109,117,87,92
2016-03,50,31,31,83,45,34,48,91,117,43,76,40,58,50,39,39,42,42,56,40,46,51,16,20,36,40,35,39,67,56,53,42,48,35,32,56,59
2016-04,75,50,59,108,47,61,82,92,163,95,127,38,93,60,54,43,76,67,61,64,50,104,41,37,47,72,43,42,94,64,59,71,62,57,63,55,82
2016-05,68,68,45,99,60,61,68,76,125,55,111,45,73,51,44,32,60,27,48,47,48,84,39,51,58,66,59,46,84,62,55,54,76,45,50,43,69
2016-06,63,44,36,79,42,41,72,75,105,47,82,23,91,47,30,31,43,35,44,52,59,75,28,64,51,76,40,44,91,60,43,56,74,48,42,53,74
2016-07,70,70,39,124,48,56,109,98,147,78,99,26,95,44,44,31,65,62,70,50,45,77,33,43,58,72,55,52,82,71,50,55,67,56,57,55,74
2016-08,52,55,39,77,46,55,93,114,127,55,84,36,76,65,38,47,45,40,62,55,46,84,31,40,58,50,33,30,81,78,40,59,57,42,61,53,68
