stakeholder,month,topic_id,topic_label,absolute_impact,relative_impact,monthly_document_count
developer,2015-06,1,App Development ,103,0.021548117154811714,4780
developer,2015-06,34,Audio and Visual,66,0.013807531380753139,4780
developer,2015-06,19,Beta Testing,90,0.01882845188284519,4780
developer,2015-06,21,Bug Reporting ,193,0.040376569037656906,4780
developer,2015-06,31,Compatibility Issues,107,0.022384937238493725,4780
developer,2015-06,10,Control Issues,72,0.01506276150627615,4780
developer,2015-06,36,Controller,83,0.017364016736401675,4780
developer,2015-06,33,Cross-platform,260,0.05439330543933055,4780
developer,2015-06,9,Customization,243,0.05083682008368201,4780
developer,2015-06,5,Cybersickness,118,0.024686192468619247,4780
developer,2015-06,26,Educational Use,155,0.032426778242677826,4780
developer,2015-06,24,Environment & Interface.,120,0.02510460251046025,4780
developer,2015-06,32,Game Elements,115,0.02405857740585774,4780
developer,2015-06,4,Graphics Optimization,134,0.02803347280334728,4780
developer,2015-06,30,Hardware Optimization,116,0.024267782426778243,4780
developer,2015-06,23,Horror Game ,114,0.02384937238493724,4780
developer,2015-06,25,IOS Development,93,0.019456066945606695,4780
developer,2015-06,6,Implementation Challenges,313,0.06548117154811715,4780
developer,2015-06,3,Input Methods,153,0.03200836820083682,4780
developer,2015-06,17,Installation and Setup,108,0.022594142259414227,4780
developer,2015-06,12,Interaction Mechanics,89,0.018619246861924687,4780
developer,2015-06,0,Layout Challenges,171,0.03577405857740586,4780
developer,2015-06,35,Multiplayer,64,0.013389121338912133,4780
developer,2015-06,7,Object Tracking,102,0.021338912133891212,4780
developer,2015-06,2,Parallel Rendering ,96,0.0200836820083682,4780
developer,2015-06,28,Physics & Hardware,121,0.025313807531380753,4780
developer,2015-06,20,Player Interaction,49,0.010251046025104602,4780
developer,2015-06,11,Rendering Issues,118,0.024686192468619247,4780
developer,2015-06,8,Safety ,124,0.02594142259414226,4780
developer,2015-06,15,Server Management,103,0.021548117154811714,4780
developer,2015-06,18,Streaming and Mapping,178,0.037238493723849374,4780
developer,2015-06,13,Support Challenges,106,0.022175732217573223,4780
developer,2015-06,29,Technical Challenges,102,0.021338912133891212,4780
developer,2015-06,14,Testing Requirements,153,0.03200836820083682,4780
developer,2015-06,27,Tools Limitation,161,0.03368200836820084,4780
developer,2015-06,22,Troubleshooting,160,0.03347280334728033,4780
developer,2015-06,16,UE Issues,127,0.026569037656903764,4780
developer,2015-07,1,App Development ,77,0.03243470935130581,2374
developer,2015-07,34,Audio and Visual,68,0.02864363942712721,2374
developer,2015-07,19,Beta Testing,34,0.014321819713563605,2374
developer,2015-07,21,Bug Reporting ,104,0.04380791912384162,2374
developer,2015-07,31,Compatibility Issues,44,0.018534119629317607,2374
developer,2015-07,10,Control Issues,58,0.02443133951137321,2374
developer,2015-07,36,Controller,50,0.02106149957877001,2374
developer,2015-07,33,Cross-platform,101,0.04254422914911542,2374
developer,2015-07,9,Customization,142,0.05981465880370682,2374
developer,2015-07,5,Cybersickness,62,0.02611625947767481,2374
developer,2015-07,26,Educational Use,79,0.03327716933445661,2374
developer,2015-07,24,Environment & Interface.,47,0.019797809604043808,2374
developer,2015-07,32,Game Elements,53,0.02232518955349621,2374
developer,2015-07,4,Graphics Optimization,54,0.02274641954507161,2374
developer,2015-07,30,Hardware Optimization,49,0.020640269587194608,2374
developer,2015-07,23,Horror Game ,70,0.02948609941027801,2374
developer,2015-07,25,IOS Development,57,0.02401010951979781,2374
developer,2015-07,6,Implementation Challenges,81,0.03411962931760741,2374
developer,2015-07,3,Input Methods,74,0.031171019376579612,2374
developer,2015-07,17,Installation and Setup,54,0.02274641954507161,2374
developer,2015-07,12,Interaction Mechanics,55,0.02316764953664701,2374
developer,2015-07,0,Layout Challenges,77,0.03243470935130581,2374
developer,2015-07,35,Multiplayer,30,0.012636899747262006,2374
developer,2015-07,7,Object Tracking,46,0.019376579612468407,2374
developer,2015-07,2,Parallel Rendering ,63,0.02653748946925021,2374
developer,2015-07,28,Physics & Hardware,47,0.019797809604043808,2374
developer,2015-07,20,Player Interaction,45,0.018955349620893007,2374
developer,2015-07,11,Rendering Issues,58,0.02443133951137321,2374
developer,2015-07,8,Safety ,62,0.02611625947767481,2374
developer,2015-07,15,Server Management,77,0.03243470935130581,2374
developer,2015-07,18,Streaming and Mapping,79,0.03327716933445661,2374
developer,2015-07,13,Support Challenges,54,0.02274641954507161,2374
developer,2015-07,29,Technical Challenges,25,0.010530749789385004,2374
developer,2015-07,14,Testing Requirements,56,0.02358887952822241,2374
developer,2015-07,27,Tools Limitation,85,0.03580454928390901,2374
developer,2015-07,22,Troubleshooting,88,0.03706823925863521,2374
developer,2015-07,16,UE Issues,69,0.02906486941870261,2374
developer,2015-08,1,App Development ,104,0.039423805913570885,2638
developer,2015-08,34,Audio and Visual,44,0.016679302501895376,2638
developer,2015-08,19,Beta Testing,58,0.021986353297952996,2638
developer,2015-08,21,Bug Reporting ,111,0.0420773313115997,2638
developer,2015-08,31,Compatibility Issues,55,0.02084912812736922,2638
developer,2015-08,10,Control Issues,45,0.017058377558756634,2638
developer,2015-08,36,Controller,51,0.019332827899924184,2638
