stakeholder,month,topic_id,absolute_impact,relative_impact,monthly_document_count
developer,2015-06,0,110,0.0205684367988032,5348
developer,2015-06,1,174,0.0325355272999252,5348
developer,2015-06,2,142,0.0265519820493642,5348
developer,2015-06,3,90,0.0168287210172026,5348
developer,2015-06,4,98,0.0183246073298429,5348
developer,2015-06,5,251,0.0469334330590875,5348
developer,2015-06,6,237,0.044315632011967,5348
developer,2015-06,7,100,0.0186985789080029,5348
developer,2015-06,8,268,0.050112191473448,5348
developer,2015-06,9,123,0.0229992520568436,5348
developer,2015-06,10,139,0.0259910246821241,5348
developer,2015-06,11,147,0.0274869109947644,5348
developer,2015-06,12,146,0.0272999252056843,5348
developer,2015-06,13,103,0.019259536275243,5348
developer,2015-06,14,88,0.0164547494390426,5348
developer,2015-06,15,95,0.0177636499626028,5348
developer,2015-06,16,120,0.0224382946896035,5348
developer,2015-06,17,61,0.0114061331338818,5348
developer,2015-06,18,123,0.0229992520568436,5348
developer,2015-06,19,58,0.0108451757666417,5348
developer,2015-06,20,128,0.0239341810022438,5348
developer,2015-06,21,77,0.0143979057591623,5348
developer,2015-06,22,153,0.0286088257292445,5348
developer,2015-06,23,81,0.0151458489154824,5348
developer,2015-06,24,104,0.0194465220643231,5348
developer,2015-06,25,158,0.0295437546746447,5348
developer,2015-06,26,172,0.0321615557217651,5348
developer,2015-06,27,197,0.0368362004487658,5348
developer,2015-06,28,70,0.013089005235602,5348
developer,2015-06,29,72,0.0134629768137621,5348
developer,2015-06,30,59,0.0110321615557217,5348
developer,2015-06,31,114,0.0213163799551234,5348
developer,2015-06,32,253,0.0473074046372475,5348
developer,2015-06,33,270,0.050486163051608,5348
developer,2015-06,34,155,0.0289827973074046,5348
developer,2015-06,35,106,0.0198204936424831,5348
developer,2015-06,36,110,0.0205684367988032,5348
developer,2015-06,37,146,0.0272999252056843,5348
developer,2015-06,38,130,0.0243081525804038,5348
developer,2015-06,39,120,0.0224382946896035,5348
developer,2015-07,0,75,0.0295275590551181,2540
developer,2015-07,1,92,0.0362204724409448,2540
developer,2015-07,2,94,0.037007874015748,2540
developer,2015-07,3,46,0.0181102362204724,2540
