stakeholder,month,topic_id,absolute_impact,relative_impact,monthly_document_count
user,2015-06,37,1,1.0,1
user,2015-07,3,1,0.16666666666666666,6
user,2015-07,4,1,0.16666666666666666,6
user,2015-07,22,1,0.16666666666666666,6
user,2015-07,31,1,0.16666666666666666,6
user,2015-07,37,2,0.3333333333333333,6
user,2015-08,0,1,0.03225806451612903,31
user,2015-08,4,3,0.0967741935483871,31
user,2015-08,5,1,0.03225806451612903,31
user,2015-08,7,2,0.06451612903225806,31
user,2015-08,8,2,0.06451612903225806,31
user,2015-08,9,1,0.03225806451612903,31
user,2015-08,14,1,0.03225806451612903,31
user,2015-08,15,1,0.03225806451612903,31
user,2015-08,18,1,0.03225806451612903,31
user,2015-08,20,1,0.03225806451612903,31
user,2015-08,25,1,0.03225806451612903,31
user,2015-08,27,2,0.06451612903225806,31
user,2015-08,28,2,0.06451612903225806,31
user,2015-08,29,1,0.03225806451612903,31
user,2015-08,31,2,0.06451612903225806,31
user,2015-08,32,1,0.03225806451612903,31
user,2015-08,35,1,0.03225806451612903,31
user,2015-08,37,1,0.03225806451612903,31
user,2015-08,39,1,0.03225806451612903,31
user,2015-08,44,1,0.03225806451612903,31
user,2015-08,46,1,0.03225806451612903,31
user,2015-08,47,2,0.06451612903225806,31
user,2015-08,49,1,0.03225806451612903,31
user,2015-09,0,1,0.05263157894736842,19
user,2015-09,1,1,0.05263157894736842,19
user,2015-09,13,2,0.10526315789473684,19
user,2015-09,15,1,0.05263157894736842,19
user,2015-09,18,1,0.05263157894736842,19
user,2015-09,21,2,0.10526315789473684,19
user,2015-09,23,1,0.05263157894736842,19
user,2015-09,25,1,0.05263157894736842,19
user,2015-09,29,1,0.05263157894736842,19
user,2015-09,33,1,0.05263157894736842,19
user,2015-09,35,3,0.15789473684210525,19
user,2015-09,36,1,0.05263157894736842,19
user,2015-09,38,1,0.05263157894736842,19
user,2015-09,39,1,0.05263157894736842,19
user,2015-09,44,1,0.05263157894736842,19
user,2015-10,1,1,0.07692307692307693,13
user,2015-10,5,1,0.07692307692307693,13
user,2015-10,11,1,0.07692307692307693,13
user,2015-10,14,2,0.15384615384615385,13
user,2015-10,17,1,0.07692307692307693,13
user,2015-10,19,1,0.07692307692307693,13
user,2015-10,21,1,0.07692307692307693,13
user,2015-10,31,1,0.07692307692307693,13
user,2015-10,37,1,0.07692307692307693,13
user,2015-10,41,1,0.07692307692307693,13
user,2015-10,43,1,0.07692307692307693,13
user,2015-10,44,1,0.07692307692307693,13
user,2015-11,2,1,0.06666666666666667,15
user,2015-11,7,1,0.06666666666666667,15
user,2015-11,8,1,0.06666666666666667,15
user,2015-11,18,2,0.13333333333333333,15
user,2015-11,25,1,0.06666666666666667,15
user,2015-11,26,1,0.06666666666666667,15
user,2015-11,28,1,0.06666666666666667,15
user,2015-11,29,2,0.13333333333333333,15
user,2015-11,31,1,0.06666666666666667,15
user,2015-11,32,1,0.06666666666666667,15
user,2015-11,34,1,0.06666666666666667,15
user,2015-11,36,1,0.06666666666666667,15
