mapping_id,mapping_status,user_topic_id,user_topic_label,developer_topic_id,developer_topic_label,user_mean_relative_impact,developer_mean_relative_impact,stakeholder_alignment_score,discussion_salience_gap_log2_user_over_developer,best_lag_months,best_lag_spearman_rho,best_lag_p_value_permutation,best_lag_n_observations,lag_interpretation,best_lag_fdr_bh,has_any_lag_fdr_0.05
M030,matched,28,Performance Issues,29,Technical Challenges,0.022761493747207553,0.018709654522019833,0.9022973948349392,0.2828123199961459,8,-0.3440228313290782,0.000999000999000999,101,developer_lags_user,0.0032275416890801506,False
M009,matched,41,UI Design,24,Environment & Interface.,0.020557947603097843,0.019163283064694687,0.9648886876131234,0.10135149506910739,-4,0.27501555048724863,0.000999000999000999,105,developer_leads_user,0.0032275416890801506,False
M004,matched,22,Light Design,11,Rendering Issues,0.022879211521945518,0.022183909578903295,0.9845704885493674,0.04452369277891225,3,-0.32928012011117935,0.000999000999000999,106,developer_lags_user,0.0032275416890801506,False
M022,matched,2,Comfort Issues,5,Cybersickness,0.02256451998318673,0.023140025162041822,0.9874081412031603,-0.03633434489352499,-3,0.251369121092274,0.000999000999000999,106,developer_leads_user,0.0032275416890801506,False
M023,matched,29,Physical Reactions,5,Cybersickness,0.02129572204030538,0.023140025162041822,0.9584950577449158,-0.11982678730876405,0,-0.2679414974094333,0.000999000999000999,109,synchronous,0.0032275416890801506,False
M028,matched,17,Installation,17,Installation and Setup,0.01984969700326965,0.021625852552486727,0.9571758405084776,-0.12364002355475688,4,-0.3192017827832013,0.000999000999000999,105,developer_lags_user,0.0032275416890801506,False
M024,matched,27,Network connect,18,Streaming and Mapping,0.021044985918066878,0.02503616527697323,0.913388028395234,-0.25053706108642276,0,0.3107711127101536,0.000999000999000999,109,synchronous,0.0032275416890801506,False
M034,matched,40,Troubleshooting,22,Troubleshooting,0.02316198109529522,0.031125163347270585,0.8533136650749149,-0.42632275306868994,-5,-0.3651445641736904,0.000999000999000999,104,developer_leads_user,0.0032275416890801506,False
M012,matched,18,Interaction Methods,12,Interaction Mechanics,0.015559215005112408,0.02111234792042202,0.848571141447273,-0.44031775562329095,-1,0.32224490136253564,0.000999000999000999,108,developer_leads_user,0.0032275416890801506,False
M033,matched,39,Technical Issues,16,UE Issues,0.01958436201246569,0.026718607812287982,0.8459225007236095,-0.4481427060559142,2,-0.2565062136149501,0.000999000999000999,107,developer_lags_user,0.0032275416890801506,False
M005,matched,36,Sound Design,34,Audio and Visual,0.018173364880755886,0.025599790781649073,0.8303429170608827,-0.49430645377579047,4,-0.31504250466514616,0.000999000999000999,105,developer_lags_user,0.0032275416890801506,False
M008,matched,41,UI Design,0,Layout Challenges,0.020557947603097843,0.030263985854946766,0.8090187131571719,-0.5579057665094688,-6,-0.29619338400035145,0.000999000999000999,103,developer_leads_user,0.0032275416890801506,False
M013,matched,18,Interaction Methods,20,Player Interaction,0.015559215005112408,0.0287735150285434,0.7019290259566442,-0.8869721990492007,1,0.2617418973881714,0.000999000999000999,108,developer_lags_user,0.0032275416890801506,False
M031,matched,28,Performance Issues,22,Troubleshooting,0.022761493747207553,0.031125163347270585,0.8447914557912916,-0.45148616941298714,0,0.24400528236745722,0.005994005994005994,109,synchronous,0.016783216783216783,False
M035,matched,40,Troubleshooting,21,Bug Reporting,0.02316198109529522,0.042104548610636006,0.7097659765212075,-0.8622174424641758,4,0.2750570184532449,0.005994005994005994,105,developer_lags_user,0.016783216783216783,False
M038,matched,23,Linux OS,33,Cross-platform,0.01919327694357897,0.03782436866177175,0.6732398975779943,-0.9787149525817106,-3,0.23040104803763778,0.007992007992007992,106,developer_leads_user,0.02097902097902098,False
M017,matched,14,Hardware Support,30,Hardware Optimization,0.023939877287630768,0.016634991076304145,0.819965251750772,0.5251946649267191,1,0.20908021289316606,0.008991008991008992,108,developer_lags_user,0.02097902097902098,False
M016,matched,42,VR Elements,32,Game Elements,0.015024233088474517,0.02737912257090201,0.7086341566600962,-0.865784862208574,3,-0.2830734353007286,0.008991008991008992,106,developer_lags_user,0.02097902097902098,False
M027,matched,26,Multiplayer,15,Server Management,0.01993451700526711,0.031692117645880064,0.7722570777693728,-0.6688554122166295,-10,-0.2509461966604824,0.00999000999000999,99,developer_leads_user,0.022083179977916822,False
M019,matched,14,Hardware Support,31,Compatibility Issues,0.023939877287630768,0.021805461679988866,0.9533413533320615,0.13472622078863652,-10,0.29291280148423005,0.012987012987012988,99,developer_leads_user,0.025974025974025976,False
M032,matched,39,Technical Issues,29,Technical Challenges,0.01958436201246569,0.018709654522019833,0.9771581158211675,0.06591921213893712,-4,-0.24670911960771125,0.012987012987012988,105,developer_leads_user,0.025974025974025976,False
M037,matched,19,Kids and Students,26,Educational Use,0.02011263336240014,0.03575548892241718,0.7200039142180346,-0.8300627437324656,-6,-0.24934103589157844,0.013986013986013986,103,developer_leads_user,0.02670057215511761,False
M025,matched,27,Network connect,15,Server Management,0.021044985918066878,0.031692117645880064,0.7981092815478384,-0.5906475185036602,-12,-0.24863244266778878,0.016983016983016984,97,developer_leads_user,0.031012465795074492,False
M049,matched,15,Horror Game,23,Horror Game,0.019443299617826797,0.019154509329532856,0.9925179616107143,0.021589002222628332,0,0.24243449257021893,0.01898101898101898,109,synchronous,0.033216783216783216,False
M011,matched,16,Input Methods,36,Controller,0.018540136622099093,0.02256863061058213,0.9020040186176537,-0.28366700802706063,2,0.24448189070507959,0.01998001998001998,107,developer_lags_user,0.033566433566433566,False
M021,matched,25,Motion Design,12,Interaction Mechanics,0.02980861886953516,0.02111234792042202,0.8292202309352565,0.4976425012639553,-5,-0.24839432412247947,0.024975024975024976,104,developer_leads_user,0.04034427111350188,False
M007,matched,7,Game Interface,24,Environment & Interface.,0.020223514982195805,0.019163283064694687,0.9730815407687626,0.07768902348587418,5,-0.22386881329358294,0.025974025974025976,104,developer_lags_user,0.04040404040404041,False
M041,weak_match,20,Language,14,Testing Requirements,0.01628711592684369,0.018873519069570327,0.9264403745007205,-0.2126322878786463,-6,-0.24187277599613408,0.027972027972027972,103,developer_leads_user,0.04195804195804196,False
M036,matched,32,Privacy & Security,8,Safety,0.028260150702749943,0.03203973815452412,0.9373201589034843,-0.18109319818706482,7,-0.2519126270137008,0.03296703296703297,102,developer_lags_user,0.04755244755244756,False
