mapping_id,user_topic_label,developer_topic_label,user_mean_relative_impact,developer_mean_relative_impact,stakeholder_alignment_score,discussion_salience_gap_log2_user_over_developer,best_lag_months,best_lag_spearman_rho,best_lag_p_value_permutation,best_lag_fdr_bh,has_any_lag_fdr_0.05
M038,Linux OS,Cross-platform,0.0191932769435789,0.0378243686617717,0.6732398975779943,-0.9787149525817106,-3,0.2304010480376377,0.0079920079920079,0.0209790209790209,False
M013,Interaction Methods,Player Interaction,0.0155592150051124,0.0287735150285434,0.7019290259566442,-0.8869721990492007,1,0.2617418973881714,0.0009990009990009,0.0032275416890801,False
M016,VR Elements,Game Elements,0.0150242330884745,0.027379122570902,0.7086341566600962,-0.865784862208574,3,-0.2830734353007286,0.0089910089910089,0.0209790209790209,False
M035,Troubleshooting,Bug Reporting,0.0231619810952952,0.042104548610636,0.7097659765212075,-0.8622174424641758,4,0.2750570184532449,0.0059940059940059,0.0167832167832167,False
M037,Kids and Students,Educational Use,0.0201126333624001,0.0357554889224171,0.7200039142180346,-0.8300627437324656,-6,-0.2493410358915784,0.0139860139860139,0.0267005721551176,False
M001,Customization,Customization,0.0388891011447876,0.0670922163395829,0.7338859728867929,-0.7867795130553304,3,0.1964737800690922,0.0339660339660339,0.0475524475524475,False
M039,Mac OS,Cross-platform,0.0233639005557887,0.0378243686617717,0.7636725422918699,-0.6950348528156145,-1,-0.1763834439763089,0.0999000999000999,0.1075847229693383,False
M027,Multiplayer,Server Management,0.0199345170052671,0.03169211764588,0.7722570777693728,-0.6688554122166295,-10,-0.2509461966604824,0.0099900099900099,0.0220831799779168,False
M025,Network connect,Server Management,0.0210449859180668,0.03169211764588,0.7981092815478384,-0.5906475185036602,-12,-0.2486324426677887,0.0169830169830169,0.0310124657950744,False
M010,Input Methods,Input Methods,0.018540136622099,0.0277893008294462,0.8003609645202151,-0.5838776619812064,-5,-0.1954502172476205,0.0509490509490509,0.0629370629370629,False
M008,UI Design,Layout Challenges,0.0205579476030978,0.0302639858549467,0.8090187131571719,-0.5579057665094688,-6,-0.2961933840003514,0.0009990009990009,0.0032275416890801,False
M005,Sound Design,Audio and Visual,0.0181733648807558,0.025599790781649,0.8303429170608827,-0.4943064537757904,4,-0.3150425046651461,0.0009990009990009,0.0032275416890801,False
