mapping_id,user_topic_label,developer_topic_label,user_mean_relative_impact,developer_mean_relative_impact,stakeholder_alignment_score,discussion_salience_gap_log2_user_over_developer,best_lag_months,best_lag_spearman_rho,best_lag_p_value_permutation,best_lag_fdr_bh,has_any_lag_fdr_0.05
M003,Game Graphics,Rendering Issues,0.040205379120351,0.0221839095789032,0.711144814808984,0.8578748928785579,8,-0.217461320505641,0.0609390609390609,0.071095571095571,False
M017,Hardware Support,Hardware Optimization,0.0239398772876307,0.0166349910763041,0.819965251750772,0.5251946649267191,1,0.209080212893166,0.0089910089910089,0.0209790209790209,False
M021,Motion Design,Interaction Mechanics,0.0298086188695351,0.021112347920422,0.8292202309352565,0.4976425012639553,-5,-0.2483943241224794,0.0249750249750249,0.0403442711135018,False
M014,Game Mechanics,Game Elements,0.0376480141203827,0.027379122570902,0.8420829814778064,0.4594975540193951,7,0.1792433092752974,0.0839160839160839,0.0927493559072506,False
M002,Game Graphics,Graphics Optimization,0.040205379120351,0.0309521914207661,0.869962006444444,0.3773469778816124,11,-0.2533591331775689,0.0389610389610389,0.0527859237536656,False
M030,Performance Issues,Technical Challenges,0.0227614937472075,0.0187096545220198,0.9022973948349392,0.2828123199961459,8,-0.3440228313290782,0.0009990009990009,0.0032275416890801,False
M026,Multiplayer,Multiplayer,0.0199345170052671,0.0169971377914912,0.9204644571205592,0.2299768243280587,6,0.1988340715385754,0.1528471528471528,0.1528471528471528,False
M019,Hardware Support,Compatibility Issues,0.0239398772876307,0.0218054616799888,0.9533413533320616,0.1347262207886365,-10,0.29291280148423,0.0129870129870129,0.0259740259740259,False
M009,UI Design,Environment & Interface.,0.0205579476030978,0.0191632830646946,0.9648886876131234,0.1013514950691073,-4,0.2750155504872486,0.0009990009990009,0.0032275416890801,False
M007,Game Interface,Environment & Interface.,0.0202235149821958,0.0191632830646946,0.9730815407687626,0.0776890234858741,5,-0.2238688132935829,0.0259740259740259,0.0404040404040404,False
M032,Technical Issues,Technical Challenges,0.0195843620124656,0.0187096545220198,0.9771581158211676,0.0659192121389371,-4,-0.2467091196077112,0.0129870129870129,0.0259740259740259,False
M004,Light Design,Rendering Issues,0.0228792115219455,0.0221839095789032,0.9845704885493674,0.0445236927789122,3,-0.3292801201111793,0.0009990009990009,0.0032275416890801,False
